region_name,province,type,subtype
Cranbrook,BC,Single Family,
Kamloops,BC,Condo,
Whistler,BC,Single Family,
Grande Cache,AB,Single Family,
Richmond,BC,Condo,
Burnaby,BC,Condo,
Lake Country,BC,Single Family,
Summerland,BC,Single Family,
West Kelowna,BC,Single Family,
Dawson Creek,BC,Single Family,
Surrey,BC,Condo,
Vancouver,BC,Condo,
Richmond,BC,Condo,
Pritchard,BC,Single Family,
Lake Country,BC,Condo/Townhome,
Kamloops,BC,Single Family,
Squamish,BC,Condo/Townhome,
Surrey,BC,Condo,
Prince Albert Rm No. 461,SK,Single Family,
Fort St. John,BC,Condo,
100 Mile House,BC,Single Family,
Eckville,AB,Duplex,
Airdrie,AB,Duplex,
Calgary,AB,Single Family,
Maple Ridge,BC,Single Family,
Vancouver,BC,Single Family,
Kelowna,BC,Single Family,
Calgary,AB,Condo,
Calgary,AB,Single Family,
Richmond,BC,Condo,
Rural Clearwater County,AB,Single Family,
Carbon,AB,Single Family,
Calgary,AB,Condo,
Langley,BC,Single Family,
Coombs,BC,Single Family,
Chilliwack,BC,Condo/Townhome,
Grande Prairie,AB,Single Family,
Vernon,BC,Single Family,
Vernon,BC,Condo,
Kelowna,BC,Condo,
Red Deer,AB,Single Family,
Calgary,AB,Townhome,
Vauxhall,AB,Single Family,
Prince George,BC,Single Family,
Port Alberni,BC,Single Family,
Cochrane,AB,Single Family,
Rural Rocky View County,AB,Single Family,
Chilliwack,BC,Single Family,
Coquitlam,BC,Condo,
Lethbridge,AB,Single Family,
Edmonton,AB,Condo,
West Kelowna,BC,Single Family,
Coldstream,BC,Single Family,
Savary Island,BC,Single Family,
Vancouver,BC,Condo,
Campbell River,BC,Single Family,
Calgary,AB,Single Family,
Calgary,AB,Condo,
Richmond,BC,Condo,
West Kelowna,BC,Single Family,
Keremeos,BC,Single Family,
Kelowna,BC,Single Family,
Courtenay,BC,Single Family,
Prince George,BC,Single Family,
Savary Island,BC,Single Family,
West Kelowna,BC,Single Family,
Vernon,BC,Condo,
Okanagan Falls,BC,Single Family,
Kamloops,BC,Single Family,
Surrey,BC,Townhome,
Surrey,BC,Single Family,
Peachland,BC,Condo,
Langley,BC,Single Family,
Calgary,AB,Duplex,
Richmond,BC,Condo,
Vancouver,BC,Condo,
Vancouver,BC,Condo,
Kathyrn,AB,Single Family,
Calgary,AB,Townhome,
Surrey,BC,Condo/Townhome,
Kamloops,BC,Single Family,
Prince Albert,SK,Single Family,
Courtenay,BC,Single Family,
Prince George,BC,Single Family,
Halfmoon Bay,BC,Single Family,
Vancouver,BC,Condo,
Calgary,AB,Condo,
Brooks,AB,Townhome,
North Vancouver,BC,Single Family,
Vancouver,BC,Condo,
Calgary,AB,Condo/Townhome,
New Westminster,BC,Single Family,
Chilliwack,BC,Condo,
West Kelowna,BC,Condo,
Oyama,BC,Single Family,
Vancouver,BC,Condo,
Port Hardy,BC,Manufactured Home,
Vancouver,BC,Condo,
Surrey,BC,Single Family,
West Vancouver,BC,Single Family,
Lethbridge,AB,Single Family,
Parksville,BC,Single Family,
North Vancouver,BC,Condo/Townhome,
Castlegar,BC,Single Family,
Kelowna,BC,Condo,
"Rural Grande Prairie No. 1, County of",AB,Single Family,
Kelowna,BC,Mobile Home,
Calgary,AB,Duplex,
Lethbridge,AB,Condo,
Medicine Hat,AB,Single Family,
Surrey,BC,Condo,
Surrey,BC,Single Family,
Maple Ridge,BC,Condo,
Fort McMurray,AB,Condo,
Vancouver,BC,Condo,
Calgary,AB,Single Family,
Lloydminster,AB,Single Family,
Kelowna,BC,Condo,
West Kelowna,BC,Single Family,
Lake Country,BC,Single Family,
Medicine Hat,AB,Single Family,
Maple Ridge,BC,Single Family,
New Westminster,BC,Condo,
New Westminster,BC,Condo,
Vernon,BC,Single Family,
Castlegar,BC,Single Family,
Grande Prairie,AB,Single Family,
Red Deer,AB,Single Family,
Stavely,AB,Single Family,
Surrey,BC,Single Family,
Calgary,AB,Single Family,
Richmond,BC,Condo,
Courtenay,BC,Condo,
Surrey,BC,Single Family,
Penticton,BC,Single Family,
Penticton,BC,Single Family,
Vancouver,BC,Condo/Townhome,
Coalhurst,AB,Single Family,
Coquitlam,BC,Condo,
Stettler,AB,Single Family,
