region_name,province,avg_price,year
Blind Bay,BC,658800.0,2024
Calgary,AB,759900.0,2024
Grande Prairie,AB,729900.0,2024
Calgary,AB,830000.0,2024
Kelowna,BC,549900.0,2024
Kelowna,BC,1199000.0,2024
Calgary,AB,648800.0,2024
Saskatoon,SK,529900.0,2024
Calgary,AB,349999.0,2024
Nanaimo,BC,1149900.0,2024
West Kelowna,BC,1445000.0,2024
Kamloops,BC,1465000.0,2024
Kamloops,BC,377000.0,2024
Kamloops,BC,669000.0,2024
Kelowna,BC,1389000.0,2024
Coldstream,BC,1189000.0,2024
New Westminster,BC,1949000.0,2024
Nanaimo,BC,399000.0,2024
Vancouver,BC,2990000.0,2024
Whistler,BC,3250000.0,2024
Kamloops,BC,1199999.0,2024
Calgary,AB,299900.0,2024
Courtenay,BC,789000.0,2024
Langley,BC,589900.0,2024
New Westminster,BC,509000.0,2024
Saskatoon,SK,159900.0,2024
Prince George,BC,589900.0,2024
Edmonton,AB,668900.0,2024
Burnaby,BC,659900.0,2024
Kelowna,BC,2985000.0,2024
Cranbrook,BC,539000.0,2024
Kamloops,BC,245000.0,2024
Whistler,BC,3795000.0,2024
Grande Cache,AB,175000.0,2024
Richmond,BC,652000.0,2024
Burnaby,BC,649800.0,2024
Lake Country,BC,2388000.0,2024
Summerland,BC,800000.0,2024
West Kelowna,BC,799900.0,2024
Dawson Creek,BC,499900.0,2024
Surrey,BC,409900.0,2024
Vancouver,BC,569900.0,2024
Richmond,BC,558000.0,2024
Pritchard,BC,749900.0,2024
Lake Country,BC,650000.0,2024
Kamloops,BC,718900.0,2024
Squamish,BC,998900.0,2024
Surrey,BC,624900.0,2024
Prince Albert Rm No. 461,SK,649000.0,2024
Fort St. John,BC,200000.0,2024
100 Mile House,BC,679900.0,2024
Eckville,AB,410000.0,2024
Airdrie,AB,549999.0,2024
Calgary,AB,750000.0,2024
Maple Ridge,BC,1499000.0,2024
Vancouver,BC,2200000.0,2024
Kelowna,BC,1199000.0,2024
Calgary,AB,368000.0,2024
Calgary,AB,928000.0,2024
Richmond,BC,648000.0,2024
Rural Clearwater County,AB,1000000.0,2024
Carbon,AB,299900.0,2024
Calgary,AB,249900.0,2024
Langley,BC,4399000.0,2024
Coombs,BC,1100000.0,2024
Chilliwack,BC,622500.0,2024
Grande Prairie,AB,424900.0,2024
Vernon,BC,1499000.0,2024
Vernon,BC,799000.0,2024
Kelowna,BC,480000.0,2024
Red Deer,AB,699900.0,2024
Calgary,AB,525000.0,2024
Vauxhall,AB,180000.0,2024
Prince George,BC,434000.0,2024
Port Alberni,BC,449000.0,2024
Cochrane,AB,945000.0,2024
Rural Rocky View County,AB,14300000.0,2024
Chilliwack,BC,1069000.0,2024
Coquitlam,BC,599900.0,2024
Lethbridge,AB,425000.0,2024
Edmonton,AB,224400.0,2024
West Kelowna,BC,749900.0,2024
Coldstream,BC,2199000.0,2024
Savary Island,BC,1448000.0,2024
Vancouver,BC,770000.0,2024
Campbell River,BC,779900.0,2024
Calgary,AB,569900.0,2024
Calgary,AB,489900.0,2024
Richmond,BC,1498000.0,2024
West Kelowna,BC,1599000.0,2024
Keremeos,BC,574900.0,2024
Kelowna,BC,499900.0,2024
Courtenay,BC,2495000.0,2024
Prince George,BC,432500.0,2024
Savary Island,BC,685000.0,2024
West Kelowna,BC,924900.0,2024
Vernon,BC,438800.0,2024
Okanagan Falls,BC,1099999.0,2024
Kamloops,BC,659900.0,2024
Surrey,BC,550000.0,2024
Surrey,BC,2599000.0,2024
Peachland,BC,990000.0,2024
Langley,BC,1199900.0,2024
Calgary,AB,664900.0,2024
Richmond,BC,918000.0,2024
Vancouver,BC,799000.0,2024
Vancouver,BC,699000.0,2024
Kathyrn,AB,1400000.0,2024
Calgary,AB,513990.0,2024
Surrey,BC,799990.0,2024
Kamloops,BC,227500.0,2024
Prince Albert,SK,140000.0,2024
Courtenay,BC,1395000.0,2024
Prince George,BC,449900.0,2024
Halfmoon Bay,BC,1849000.0,2024
Vancouver,BC,1600000.0,2024
Calgary,AB,365000.0,2024
Brooks,AB,389000.0,2024
North Vancouver,BC,1799000.0,2024
Vancouver,BC,948000.0,2024
Calgary,AB,474900.0,2024
New Westminster,BC,1999000.0,2024
Chilliwack,BC,299900.0,2024
West Kelowna,BC,924900.0,2024
Oyama,BC,1225000.0,2024
Vancouver,BC,1575900.0,2024
Port Hardy,BC,248000.0,2024
Vancouver,BC,950900.0,2024
Surrey,BC,1699000.0,2024
West Vancouver,BC,4270000.0,2024
Lethbridge,AB,659900.0,2024
Parksville,BC,759900.0,2024
North Vancouver,BC,880000.0,2024
Castlegar,BC,534900.0,2024
Kelowna,BC,409900.0,2024
"Rural Grande Prairie No. 1, County of",AB,759900.0,2024
Kelowna,BC,688800.0,2024
Calgary,AB,979000.0,2024
Lethbridge,AB,224900.0,2024
Medicine Hat,AB,659900.0,2024
Surrey,BC,498000.0,2024
Surrey,BC,1298000.0,2024
Maple Ridge,BC,685000.0,2024
Fort McMurray,AB,64900.0,2024
Vancouver,BC,889000.0,2024
Calgary,AB,742000.0,2024
Lloydminster,AB,779900.0,2024
Kelowna,BC,725000.0,2024
West Kelowna,BC,1774900.0,2024
Lake Country,BC,994000.0,2024
Medicine Hat,AB,109900.0,2024
Maple Ridge,BC,3333000.0,2024
New Westminster,BC,1099999.0,2024
New Westminster,BC,699900.0,2024
Vernon,BC,749900.0,2024
Castlegar,BC,549900.0,2024
Grande Prairie,AB,334900.0,2024
Red Deer,AB,459900.0,2024
Stavely,AB,319900.0,2024
Surrey,BC,1465000.0,2024
Calgary,AB,819900.0,2024
Richmond,BC,599900.0,2024
Courtenay,BC,248900.0,2024
Surrey,BC,1295000.0,2024
Penticton,BC,2500000.0,2024
Penticton,BC,849000.0,2024
Vancouver,BC,2079900.0,2024
Coalhurst,AB,239900.0,2024
Coquitlam,BC,649000.0,2024
Stettler,AB,264500.0,2024
Calgary,AB,1295000.0,2024
Maple Ridge,BC,1895000.0,2024
North Vancouver,BC,1442900.0,2024
Surrey,BC,1929000.0,2024
Whistler,BC,1799000.0,2024
Vancouver,BC,489900.0,2024
Lions Bay,BC,2325000.0,2024
Medicine Hat,AB,259000.0,2024
Aberdeen Rm No. 373,SK,1200000.0,2024
Prince George,BC,819900.0,2024
Red Deer,AB,484500.0,2024
Lloydminster,AB,364900.0,2024
Vancouver,BC,1068000.0,2024
West Vancouver,BC,2888000.0,2024
Grande Prairie,AB,599900.0,2024
Grande Prairie,AB,599900.0,2024
Maple Ridge,BC,2099000.0,2024
Vancouver,BC,1999900.0,2024
Chilliwack,BC,284900.0,2024
Beaumont,AB,529900.0,2024
Parksville,BC,599000.0,2024
Whistler,BC,429000.0,2024
Burnaby,BC,589900.0,2024
Madeira Park,BC,475000.0,2024
Port Alberni,BC,484900.0,2024
Surrey,BC,2030000.0,2024
North Vancouver,BC,659800.0,2024
Burnaby,BC,2870000.0,2024
Hope,BC,530000.0,2024
Surrey,BC,2030000.0,2024
Surrey,BC,2198000.0,2024
Chilliwack,BC,1049900.0,2024
Olds,AB,179900.0,2024
Port Coquitlam,BC,815000.0,2024
Vancouver,BC,569900.0,2024
North Battleford,SK,235900.0,2024
Chilliwack,BC,330000.0,2024
Burnaby,BC,999999.0,2024
Surrey,BC,1299000.0,2024
Calgary,AB,679900.0,2024
Spirit River,AB,155000.0,2024
Maple Ridge,BC,599000.0,2024
Vancouver,BC,5280000.0,2024
Coquitlam,BC,624900.0,2024
Shellbrook,SK,144900.0,2024
Blackfalds,AB,309900.0,2024
Calgary,AB,899900.0,2024
Drumheller,AB,110000.0,2024
Calgary,AB,324900.0,2024
Surrey,BC,499000.0,2024
Vancouver,BC,828800.0,2024
Surrey,BC,1869000.0,2024
Calgary,AB,300000.0,2024
Medicine Hat,AB,369900.0,2024
Dunmore,AB,489000.0,2024
West Vancouver,BC,3195000.0,2024
Calgary,AB,698800.0,2024
Calgary,AB,1275000.0,2024
Vancouver,BC,1650000.0,2024
Halfmoon Bay,BC,599000.0,2024
New Westminster,BC,1129000.0,2024
Merville,BC,909600.0,2024
Vancouver,BC,928800.0,2024
West Vancouver,BC,1849000.0,2024
Burnaby,BC,568888.0,2024
Chilliwack,BC,629900.0,2024
New Westminster,BC,775000.0,2024
Coquitlam,BC,621900.0,2024
Nelson,BC,699000.0,2024
Balzac,AB,899900.0,2024
Vancouver,BC,499000.0,2024
Qualicum Beach,BC,899000.0,2024
Burnaby,BC,599000.0,2024
Burnaby,BC,3200000.0,2024
Red Deer,AB,240000.0,2024
Calgary,AB,1385000.0,2024
Minburn,AB,129900.0,2024
Redcliff,AB,329500.0,2024
Courtenay,BC,1199998.0,2024
Vancouver,BC,1799000.0,2024
Rural Red Deer County,AB,559900.0,2024
Calgary,AB,729900.0,2024
Calgary,AB,690000.0,2024
Burnaby,BC,2399000.0,2024
West Vancouver,BC,2298000.0,2024
North Vancouver,BC,2249900.0,2024
Calgary,AB,375000.0,2024
Burnaby,BC,599900.0,2024
Hope,BC,749000.0,2024
Burnaby,BC,1650000.0,2024
Richmond,BC,635000.0,2024
Burnaby,BC,529900.0,2024
Courtenay,BC,1200000.0,2024
Saskatoon,SK,429900.0,2024
North Vancouver,BC,989000.0,2024
Mission,BC,1399000.0,2024
Vancouver,BC,758800.0,2024
Vancouver,BC,872000.0,2024
Calgary,AB,539900.0,2024
Mission,BC,1075000.0,2024
Comox,BC,899900.0,2024
Qualicum Beach,BC,1585000.0,2024
North Vancouver,BC,2050000.0,2024
Rural Bonnyville M.D.,AB,855000.0,2024
Courtenay,BC,190000.0,2024
Medicine Hat,AB,499900.0,2024
Vancouver,BC,1998000.0,2024
Surrey,BC,475000.0,2024
Lethbridge,AB,414900.0,2024
Lantzville,BC,869900.0,2024
Saskatoon,SK,309900.0,2024
Squamish,BC,2399000.0,2024
New Westminster,BC,537000.0,2024
Calgary,AB,799900.0,2024
Courtenay,BC,999000.0,2024
North Vancouver,BC,688000.0,2024
North Battleford Rm No. 437,SK,219900.0,2024
Nanaimo,BC,665000.0,2024
Maple Ridge,BC,1750000.0,2024
Burnaby,BC,675000.0,2024
Vancouver,BC,2388000.0,2024
New Westminster,BC,1799000.0,2024
Port Coquitlam,BC,1079000.0,2024
Calgary,AB,1069000.0,2024
Vancouver,BC,930000.0,2024
Port Alberni,BC,1999000.0,2024
Saskatoon,SK,249900.0,2024
Calgary,AB,699000.0,2024
Whistler,BC,1649999.0,2024
Squamish,BC,2298000.0,2024
Vancouver,BC,1748800.0,2024
North Vancouver,BC,1399000.0,2024
Burnaby,BC,529900.0,2024
Surrey,BC,1399000.0,2024
Chestermere,AB,664900.0,2024
Vancouver,BC,669300.0,2024
Surrey,BC,989000.0,2024
Vancouver,BC,579000.0,2024
Calgary,AB,369900.0,2024
Vancouver,BC,430000.0,2024
Nanaimo,BC,519900.0,2024
Vancouver,BC,3588000.0,2024
Sechelt,BC,349000.0,2024
Vancouver,BC,880000.0,2024
Calgary,AB,729900.0,2024
North Vancouver,BC,818000.0,2024
Vancouver,BC,995600.0,2024
Burnaby,BC,918000.0,2024
Richmond,BC,1599000.0,2024
Vancouver,BC,2845000.0,2024
Grande Prairie,AB,439900.0,2024
Red Deer,AB,549900.0,2024
Burnaby,BC,739000.0,2024
Vancouver,BC,748888.0,2024
Vancouver,BC,977400.0,2024
Vancouver,BC,2699000.0,2024
Nanaimo,BC,419000.0,2024
Parksville,BC,849000.0,2024
Turtle Lake,SK,299900.0,2024
Vancouver,BC,616888.0,2024
North Battleford,SK,274900.0,2024
Nanaimo,BC,499000.0,2024
West Vancouver,BC,4188000.0,2024
St. Albert,AB,424900.0,2024
Calgary,AB,638000.0,2024
Medicine Hat,AB,439900.0,2024
Prince Albert,SK,249900.0,2024
Vancouver,BC,1337400.0,2024
Calgary,AB,269997.0,2024
Calgary,AB,1399900.0,2024
Calgary,AB,224900.0,2024
Richmond,BC,2599000.0,2024
Bowen Island,BC,1499000.0,2024
Vancouver,BC,652000.0,2024
Vancouver,BC,942000.0,2024
Vancouver,BC,1849000.0,2024
Coquitlam,BC,805000.0,2024
Red Deer,AB,275000.0,2024
Prince Albert,SK,264900.0,2024
Saskatoon,SK,619900.0,2024
New Westminster,BC,474999.0,2024
Maple Ridge,BC,442500.0,2024
Parksville,BC,520000.0,2024
Rocky Mountain House,AB,99900.0,2024
Richmond,BC,499000.0,2024
Courtenay,BC,819900.0,2024
Surrey,BC,729900.0,2024
Calgary,AB,368786.0,2024
Calgary,AB,344900.0,2024
Calgary,AB,580000.0,2024
Saskatoon,SK,1275000.0,2024
Red Deer,AB,299900.0,2024
