,region_name,year,avg_income,province
235,"Miramichi (CA), N.B.",2015,62800,
238,"Miramichi (CA), N.B.",2020,66500,
239,"Miramichi (CA), N.B.",2015,62800,
242,"Moncton (CMA), N.B.",2020,74500,
243,"Moncton (CMA), N.B.",2015,68000,
246,"Moncton (CMA), N.B.",2020,74500,
247,"Moncton (CMA), N.B.",2015,68000,
250,"Moncton (CMA), N.B.",2020,74500,
251,"Moncton (CMA), N.B.",2015,68000,
254,"Saint John (CMA), N.B.",2020,74000,
255,"Saint John (CMA), N.B.",2015,69000,
258,"Saint John (CMA), N.B.",2020,74000,
259,"Saint John (CMA), N.B.",2015,69000,
262,"Saint John (CMA), N.B.",2020,74000,
263,"Saint John (CMA), N.B.",2015,69000,
266,Quebec,2020,72500,QC
267,Quebec,2015,64500,QC
270,Quebec,2020,72500,QC
271,Quebec,2015,64500,QC
274,Quebec,2020,72500,QC
275,Quebec,2015,64500,QC
278,"Alma (CA), Que.",2020,67500,
279,"Alma (CA), Que.",2015,61200,
282,"Alma (CA), Que.",2020,67500,
283,"Alma (CA), Que.",2015,61200,
286,"Alma (CA), Que.",2020,67500,
287,"Alma (CA), Que.",2015,61200,
290,"Amos (CA), Que.",2020,76500,
291,"Amos (CA), Que.",2015,70000,
294,"Amos (CA), Que.",2020,76500,
295,"Amos (CA), Que.",2015,70000,
298,"Amos (CA), Que.",2020,76500,
299,"Amos (CA), Que.",2015,70000,
302,"Baie-Comeau (CA), Que.",2020,75000,
303,"Baie-Comeau (CA), Que.",2015,72500,
306,"Baie-Comeau (CA), Que.",2020,75000,
307,"Baie-Comeau (CA), Que.",2015,72500,
310,"Baie-Comeau (CA), Que.",2020,75000,
311,"Baie-Comeau (CA), Que.",2015,72500,
314,"Cowansville (CA), Que.",2020,58800,
315,"Cowansville (CA), Que.",2015,53600,
318,"Cowansville (CA), Que.",2020,58800,
319,"Cowansville (CA), Que.",2015,53600,
322,"Cowansville (CA), Que.",2020,58800,
323,"Cowansville (CA), Que.",2015,53600,
326,"Dolbeau-Mistassini (CA), Que.",2020,63600,
327,"Dolbeau-Mistassini (CA), Que.",2015,58000,
330,"Dolbeau-Mistassini (CA), Que.",2020,63600,
331,"Dolbeau-Mistassini (CA), Que.",2015,58000,
334,"Dolbeau-Mistassini (CA), Que.",2020,63600,
335,"Dolbeau-Mistassini (CA), Que.",2015,58000,
338,"Drummondville (CMA), Que.",2020,64000,
339,"Drummondville (CMA), Que.",2015,56800,
342,"Drummondville (CMA), Que.",2020,64000,
343,"Drummondville (CMA), Que.",2015,56800,
346,"Drummondville (CMA), Que.",2020,64000,
347,"Drummondville (CMA), Que.",2015,56800,
350,"Granby (CA), Que.",2020,68500,
351,"Granby (CA), Que.",2015,60800,
354,"Granby (CA), Que.",2020,68500,
355,"Granby (CA), Que.",2015,60800,
358,"Granby (CA), Que.",2020,68500,
359,"Granby (CA), Que.",2015,60800,
362,"Joliette (CA), Que.",2020,61600,
363,"Joliette (CA), Que.",2015,55200,
366,"Joliette (CA), Que.",2020,61600,
367,"Joliette (CA), Que.",2015,55200,
370,"Joliette (CA), Que.",2020,61600,
371,"Joliette (CA), Que.",2015,55200,
374,"Lachute (CA), Que.",2020,56400,
375,"Lachute (CA), Que.",2015,48400,
378,"Lachute (CA), Que.",2020,56400,
379,"Lachute (CA), Que.",2015,48400,
382,"Lachute (CA), Que.",2020,56400,
383,"Lachute (CA), Que.",2015,48400,
386,"Matane (CA), Que.",2020,56800,
387,"Matane (CA), Que.",2015,52400,
390,"Matane (CA), Que.",2020,56800,
391,"Matane (CA), Que.",2015,52400,
394,"Matane (CA), Que.",2020,56800,
395,"Matane (CA), Que.",2015,52400,
398,"Montréal (CMA), Que.",2020,76000,
399,"Montréal (CMA), Que.",2015,67000,
402,"Montréal (CMA), Que.",2020,76000,
403,"Montréal (CMA), Que.",2015,67000,
406,"Montréal (CMA), Que.",2020,76000,
407,"Montréal (CMA), Que.",2015,67000,
410,"Québec (CMA), Que.",2020,76500,
411,"Québec (CMA), Que.",2015,71000,
414,"Québec (CMA), Que.",2020,76500,
415,"Québec (CMA), Que.",2015,71000,
418,"Québec (CMA), Que.",2020,76500,
419,"Québec (CMA), Que.",2015,71000,
422,"Rimouski (CA), Que.",2020,67000,
423,"Rimouski (CA), Que.",2015,62400,
426,"Rimouski (CA), Que.",2020,67000,
427,"Rimouski (CA), Que.",2015,62400,
430,"Rimouski (CA), Que.",2020,67000,
431,"Rimouski (CA), Que.",2015,62400,
434,"Rivière-du-Loup (CA), Que.",2020,67000,
435,"Rivière-du-Loup (CA), Que.",2015,62000,
438,"Rivière-du-Loup (CA), Que.",2020,67000,
439,"Rivière-du-Loup (CA), Que.",2015,62000,
442,"Rivière-du-Loup (CA), Que.",2020,67000,
443,"Rivière-du-Loup (CA), Que.",2015,62000,
446,"Rouyn-Noranda (CA), Que.",2020,76000,
447,"Rouyn-Noranda (CA), Que.",2015,68000,
450,"Rouyn-Noranda (CA), Que.",2020,76000,
451,"Rouyn-Noranda (CA), Que.",2015,68000,
454,"Rouyn-Noranda (CA), Que.",2020,76000,
455,"Rouyn-Noranda (CA), Que.",2015,68000,
458,"Saguenay (CMA), Que.",2020,70000,
459,"Saguenay (CMA), Que.",2015,64000,
462,"Saguenay (CMA), Que.",2020,70000,
463,"Saguenay (CMA), Que.",2015,64000,
466,"Saguenay (CMA), Que.",2020,70000,
467,"Saguenay (CMA), Que.",2015,64000,
470,"Saint-Georges (CA), Que.",2020,64500,
471,"Saint-Georges (CA), Que.",2015,59200,
474,"Saint-Georges (CA), Que.",2020,64500,
475,"Saint-Georges (CA), Que.",2015,59200,
478,"Saint-Georges (CA), Que.",2020,64500,
479,"Saint-Georges (CA), Que.",2015,59200,
482,"Saint-Hyacinthe (CA), Que.",2020,62000,
483,"Saint-Hyacinthe (CA), Que.",2015,56000,
486,"Saint-Hyacinthe (CA), Que.",2020,62000,
487,"Saint-Hyacinthe (CA), Que.",2015,56000,
490,"Saint-Hyacinthe (CA), Que.",2020,62000,
491,"Saint-Hyacinthe (CA), Que.",2015,56000,
494,"Sainte-Agathe-des-Monts (CA), Que.",2020,61200,
495,"Sainte-Agathe-des-Monts (CA), Que.",2015,52800,
498,"Sainte-Agathe-des-Monts (CA), Que.",2020,61200,
499,"Sainte-Agathe-des-Monts (CA), Que.",2015,52800,
502,"Sainte-Agathe-des-Monts (CA), Que.",2020,61200,
503,"Sainte-Agathe-des-Monts (CA), Que.",2015,52800,
506,"Sainte-Marie (CA), Que.",2020,78000,
507,"Sainte-Marie (CA), Que.",2015,70000,
510,"Sainte-Marie (CA), Que.",2020,78000,
511,"Sainte-Marie (CA), Que.",2015,70000,
514,"Sainte-Marie (CA), Que.",2020,78000,
515,"Sainte-Marie (CA), Que.",2015,70000,
518,"Salaberry-de-Valleyfield (CA), Que.",2020,62000,
519,"Salaberry-de-Valleyfield (CA), Que.",2015,55200,
522,"Salaberry-de-Valleyfield (CA), Que.",2020,62000,
523,"Salaberry-de-Valleyfield (CA), Que.",2015,55200,
526,"Salaberry-de-Valleyfield (CA), Que.",2020,62000,
